Index,links,meta
0,"https://en.wikipedia.org/wiki/(0,1)-matrix",",{'og': {'title': 'Logical matrix - Wikipedia', 'type': 'website'}, 'meta': {'charset': 'UTF-8', 'ResourceLoaderDynamicStyles': '', 'generator': 'MediaWiki 1.40.0-wmf.6', 'referrer': ['origin', 'origin-when-crossorigin', 'origin-when-cross-origin'], 'robots': 'max-image-preview:standard', 'format-detection': 'telephone=no', 'viewport': 'width=1000', 'og:title': 'Logical matrix - Wikipedia', 'og:type': 'website'}, 'dc': {}, 'page': {'title': 'Logical matrix - Wikipedia', 'canonical': 'https://en.wikipedia.org/wiki/Logical_matrix'}, 'twitter': {}, '_internal': {'url': 'https://en.wikipedia.org/wiki/(0,1)-matrix', 'url_actual': 'https://en.wikipedia.org/wiki/(0,1)-matrix', 'encoding': 'utf-8'}, '_v': 1}"
1,https://en.wikipedia.org/wiki/.NET_Framework,",{'og': {'image': ['https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Microsoft_.NET_logo.svg/1200px-Microsoft_.NET_logo.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Microsoft_.NET_logo.svg/800px-Microsoft_.NET_logo.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Microsoft_.NET_logo.svg/640px-Microsoft_.NET_logo.svg.png'], 'image:width': ['1200', '800', '640'], 'image:height': ['1200', '800', '640'], 'title': '.NET Framework - Wikipedia', 'type': 'website'}, 'meta': {'charset': 'UTF-8', 'ResourceLoaderDynamicStyles': '', 'generator': 'MediaWiki 1.40.0-wmf.6', 'referrer': ['origin', 'origin-when-crossorigin', 'origin-when-cross-origin'], 'robots': 'max-image-preview:standard', 'format-detection': 'telephone=no', 'og:image': ['https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Microsoft_.NET_logo.svg/1200px-Microsoft_.NET_logo.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Microsoft_.NET_logo.svg/800px-Microsoft_.NET_logo.svg.png', 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Microsoft_.NET_logo.svg/640px-Microsoft_.NET_logo.svg.png'], 'og:image:width': ['1200', '800', '640'], 'og:image:height': ['1200', '800', '640'], 'viewport': 'width=1000', 'og:title': '.NET Framework - Wikipedia', 'og:type': 'website'}, 'dc': {}, 'page': {'title': '.NET Framework - Wikipedia', 'canonical': 'https://en.wikipedia.org/wiki/.NET_Framework'}, 'twitter': {}, '_internal': {'url': 'https://en.wikipedia.org/wiki/.NET_Framework', 'url_actual': 'https://en.wikipedia.org/wiki/.NET_Framework', 'encoding': 'utf-8'}, '_v': 1}"
2,https://en.wikipedia.org/wiki/1727,",{'og': {'image': ['https://upload.wikimedia.org/wikipedia/commons/e/e4/German_print_of_the_1727_Gibraltar_Siege.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/German_print_of_the_1727_Gibraltar_Siege.jpg/800px-German_print_of_the_1727_Gibraltar_Siege.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/German_print_of_the_1727_Gibraltar_Siege.jpg/640px-German_print_of_the_1727_Gibraltar_Siege.jpg'], 'image:width': ['1200', '800', '640'], 'image:height': ['971', '647', '518'], 'title': '1727 - Wikipedia', 'type': 'website'}, 'meta': {'charset': 'UTF-8', 'ResourceLoaderDynamicStyles': '', 'generator': 'MediaWiki 1.40.0-wmf.6', 'referrer': ['origin', 'origin-when-crossorigin', 'origin-when-cross-origin'], 'robots': 'max-image-preview:standard', 'format-detection': 'telephone=no', 'og:image': ['https://upload.wikimedia.org/wikipedia/commons/e/e4/German_print_of_the_1727_Gibraltar_Siege.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/German_print_of_the_1727_Gibraltar_Siege.jpg/800px-German_print_of_the_1727_Gibraltar_Siege.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/German_print_of_the_1727_Gibraltar_Siege.jpg/640px-German_print_of_the_1727_Gibraltar_Siege.jpg'], 'og:image:width': ['1200', '800', '640'], 'og:image:height': ['971', '647', '518'], 'viewport': 'width=1000', 'og:title': '1727 - Wikipedia', 'og:type': 'website'}, 'dc': {}, 'page': {'title': '1727 - Wikipedia', 'canonical': 'https://en.wikipedia.org/wiki/1727'}, 'twitter': {}, '_internal': {'url': 'https://en.wikipedia.org/wiki/1727', 'url_actual': 'https://en.wikipedia.org/wiki/1727', 'encoding': 'utf-8'}, '_v': 1}"
3,https://en.wikipedia.org/wiki/1740,",{'og': {'image': ['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Battle_of_Fontenoy_1745.PNG/1200px-Battle_of_Fontenoy_1745.PNG', 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Battle_of_Fontenoy_1745.PNG/800px-Battle_of_Fontenoy_1745.PNG', 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Battle_of_Fontenoy_1745.PNG/640px-Battle_of_Fontenoy_1745.PNG'], 'image:width': ['1200', '800', '640'], 'image:height': ['1001', '667', '534'], 'title': '1740 - Wikipedia', 'type': 'website'}, 'meta': {'charset': 'UTF-8', 'ResourceLoaderDynamicStyles': '', 'generator': 'MediaWiki 1.40.0-wmf.6', 'referrer': ['origin', 'origin-when-crossorigin', 'origin-when-cross-origin'], 'robots': 'max-image-preview:standard', 'format-detection': 'telephone=no', 'og:image': ['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Battle_of_Fontenoy_1745.PNG/1200px-Battle_of_Fontenoy_1745.PNG', 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Battle_of_Fontenoy_1745.PNG/800px-Battle_of_Fontenoy_1745.PNG', 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Battle_of_Fontenoy_1745.PNG/640px-Battle_of_Fontenoy_1745.PNG'], 'og:image:width': ['1200', '800', '640'], 'og:image:height': ['1001', '667', '534'], 'viewport': 'width=1000', 'og:title': '1740 - Wikipedia', 'og:type': 'website'}, 'dc': {}, 'page': {'title': '1740 - Wikipedia', 'canonical': 'https://en.wikipedia.org/wiki/1740'}, 'twitter': {}, '_internal': {'url': 'https://en.wikipedia.org/wiki/1740', 'url_actual': 'https://en.wikipedia.org/wiki/1740', 'encoding': 'utf-8'}, '_v': 1}"
4,https://en.wikipedia.org/wiki/1740_Batavia_massacre,",{'og': {'image': 'https://upload.wikimedia.org/wikipedia/commons/5/57/Chinezenmoord_van_stolk_%282%29.jpg', 'image:width': ['1200', '800', '640'], 'image:height': ['681', '454', '363'], 'title': '1740 Batavia massacre - Wikipedia', 'type': 'website'}, 'meta': {'charset': 'UTF-8', 'ResourceLoaderDynamicStyles': '', 'generator': 'MediaWiki 1.40.0-wmf.6', 'referrer': ['origin', 'origin-when-crossorigin', 'origin-when-cross-origin'], 'robots': 'max-image-preview:standard', 'format-detection': 'telephone=no', 'og:image': 'https://upload.wikimedia.org/wikipedia/commons/5/57/Chinezenmoord_van_stolk_%282%29.jpg', 'og:image:width': ['1200', '800', '640'], 'og:image:height': ['681', '454', '363'], 'viewport': 'width=1000', 'og:title': '1740 Batavia massacre - Wikipedia', 'og:type': 'website'}, 'dc': {}, 'page': {'title': '1740 Batavia massacre - Wikipedia', 'canonical': 'https://en.wikipedia.org/wiki/1740_Batavia_massacre'}, 'twitter': {}, '_internal': {'url': 'https://en.wikipedia.org/wiki/1740_Batavia_massacre', 'url_actual': 'https://en.wikipedia.org/wiki/1740_Batavia_massacre', 'encoding': 'utf-8'}, '_v': 1}"
5,https://en.wikipedia.org/wiki/1936,",{'og': {'title': '1936 - Wikipedia', 'type': 'website'}, 'meta': {'charset': 'UTF-8', 'ResourceLoaderDynamicStyles': '', 'generator': 'MediaWiki 1.40.0-wmf.6', 'referrer': ['origin', 'origin-when-crossorigin', 'origin-when-cross-origin'], 'robots': 'max-image-preview:standard', 'format-detection': 'telephone=no', 'viewport': 'width=1000', 'og:title': '1936 - Wikipedia', 'og:type': 'website'}, 'dc': {}, 'page': {'title': '1936 - Wikipedia', 'canonical': 'https://en.wikipedia.org/wiki/1936'}, 'twitter': {}, '_internal': {'url': 'https://en.wikipedia.org/wiki/1936', 'url_actual': 'https://en.wikipedia.org/wiki/1936', 'encoding': 'utf-8'}, '_v': 1}"
6,https://en.wikipedia.org/wiki/1966,",{'og': {'title': '1966 - Wikipedia', 'type': 'website'}, 'meta': {'charset': 'UTF-8', 'ResourceLoaderDynamicStyles': '', 'generator': 'MediaWiki 1.40.0-wmf.6', 'referrer': ['origin', 'origin-when-crossorigin', 'origin-when-cross-origin'], 'robots': 'max-image-preview:standard', 'format-detection': 'telephone=no', 'viewport': 'width=1000', 'og:title': '1966 - Wikipedia', 'og:type': 'website'}, 'dc': {}, 'page': {'title': '1966 - Wikipedia', 'canonical': 'https://en.wikipedia.org/wiki/1966'}, 'twitter': {}, '_internal': {'url': 'https://en.wikipedia.org/wiki/1966', 'url_actual': 'https://en.wikipedia.org/wiki/1966', 'encoding': 'utf-8'}, '_v': 1}"
7,https://en.wikipedia.org/wiki/1987,",{'og': {'image': 'https://upload.wikimedia.org/wikipedia/commons/5/5f/1987_Events_Collage.png', 'image:width': ['1200', '800', '640'], 'image:height': ['1200', '800', '640'], 'title': '1987 - Wikipedia', 'type': 'website'}, 'meta': {'charset': 'UTF-8', 'ResourceLoaderDynamicStyles': '', 'generator': 'MediaWiki 1.40.0-wmf.6', 'referrer': ['origin', 'origin-when-crossorigin', 'origin-when-cross-origin'], 'robots': 'max-image-preview:standard', 'format-detection': 'telephone=no', 'og:image': 'https://upload.wikimedia.org/wikipedia/commons/5/5f/1987_Events_Collage.png', 'og:image:width': ['1200', '800', '640'], 'og:image:height': ['1200', '800', '640'], 'viewport': 'width=1000', 'og:title': '1987 - Wikipedia', 'og:type': 'website'}, 'dc': {}, 'page': {'title': '1987 - Wikipedia', 'canonical': 'https://en.wikipedia.org/wiki/1987'}, 'twitter': {}, '_internal': {'url': 'https://en.wikipedia.org/wiki/1987', 'url_actual': 'https://en.wikipedia.org/wiki/1987', 'encoding': 'utf-8'}, '_v': 1}"
8,https://en.wikipedia.org/wiki/2-choice_hashing,",{'og': {'title': '2-choice hashing - Wikipedia', 'type': 'website'}, 'meta': {'charset': 'UTF-8', 'ResourceLoaderDynamicStyles': '', 'generator': 'MediaWiki 1.40.0-wmf.6', 'referrer': ['origin', 'origin-when-crossorigin', 'origin-when-cross-origin'], 'robots': 'max-image-preview:standard', 'format-detection': 'telephone=no', 'viewport': 'width=1000', 'og:title': '2-choice hashing - Wikipedia', 'og:type': 'website'}, 'dc': {}, 'page': {'title': '2-choice hashing - Wikipedia', 'canonical': 'https://en.wikipedia.org/wiki/2-choice_hashing'}, 'twitter': {}, '_internal': {'url': 'https://en.wikipedia.org/wiki/2-choice_hashing', 'url_actual': 'https://en.wikipedia.org/wiki/2-choice_hashing', 'encoding': 'utf-8'}, '_v': 1}"
9,https://en.wikipedia.org/wiki/2014_FA_WSL_Cup_Final,",{'og': {'title': '2014 FA WSL Cup Final - Wikipedia', 'type': 'website'}, 'meta': {'charset': 'UTF-8', 'ResourceLoaderDynamicStyles': '', 'generator': 'MediaWiki 1.40.0-wmf.6', 'referrer': ['origin', 'origin-when-crossorigin', 'origin-when-cross-origin'], 'robots': 'max-image-preview:standard', 'format-detection': 'telephone=no', 'viewport': 'width=1000', 'og:title': '2014 FA WSL Cup Final - Wikipedia', 'og:type': 'website'}, 'dc': {}, 'page': {'title': '2014 FA WSL Cup Final - Wikipedia', 'canonical': 'https://en.wikipedia.org/wiki/2014_FA_WSL_Cup_Final'}, 'twitter': {}, '_internal': {'url': 'https://en.wikipedia.org/wiki/2014_FA_WSL_Cup_Final', 'url_actual': 'https://en.wikipedia.org/wiki/2014_FA_WSL_Cup_Final', 'encoding': 'utf-8'}, '_v': 1}"
